ID,focus,focus ID,adj idx,det idx,before,before gender,deprel,number,dep tree size,after,focus ID after,after gender
128,candidato,36,-1,33,"Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece de tercero en las intenciones de votos , mientras que los restantes tres candidatos apenas superan juntos el dos por ciento . ",Masc,nsubj,Plur,5,"Cuauhtémoc Cárdenas , líder del Partido de la Revolución Democrática ( PRD ) , quien por tercera vez busca la presidencia , aparece de tercero en las intenciones de votos , mientras que las restantes tres candidatas apenas superan juntos el dos por ciento . ",36,Fem
137,candidato,8,-1,6,"El 25 de abril pasado , los seis candidatos a la presidencia participaron en un debate televisivo a nivel nacional que , según las encuestas de opinión , fue ganado por Fox . ",Masc,nsubj,Plur,7,"El 25 de abril pasado , las seis candidatas a la presidencia participaron en un debate televisivo a nivel nacional que , según las encuestas de opinión , fue ganado por Fox . ",8,Fem
139,candidato,30,29,28,"Este también lo ganó Fox , según la mayoría de las encuestas difundidas por empresas consultoras profesionales , aunque algunos medios de prensa no ocultaron su afecto a los diferentes candidatos y los declararon ganadores por igual . ",Masc,obj,Plur,5,"Este también lo ganó Fox , según la mayoría de las encuestas difundidas por empresas consultoras profesionales , aunque algunos medios de prensa no ocultaron su afecto a las diferentes candidatas y los declararon ganadores por igual . ",30,Fem
162,diputado,13,-1,-1,"Chaudhry y trece ministros de su Gabinete , además del Fiscal General y diputados y asistentes personales , forman el grupo de personas retenidas por la fuerza en el Parlamento . ",Masc,conj,Plur,6,"Chaudhry y trece ministros de su Gabinete , además del Fiscal General y diputadas y asistentes personales , forman el grupo de personas retenidas por la fuerza en el Parlamento . ",13,Fem
170,presidente,1,2,0,"El presidente estadounidense habló por teléfono este miércoles con Arafat , para conocer su punto de vista de la situación . ",Masc,nsubj,Sing,4,"La presidenta estadounidense habló por teléfono este miércoles con Arafat , para conocer su punto de vista de la situación . ",1,Fem
172,presidente,1,2,0,"El presidente estadounidense dijo el miércoles en Lisboa que la retirada israelí abre "" una nueva situación "" que aumenta el coste de no lograr un acuerdo rápidamente , aunque también hace crecer los beneficios de lograr ",Masc,nsubj,Sing,4,"La presidenta estadounidense dijo el miércoles en Lisboa que la retirada israelí abre "" una nueva situación "" que aumenta el coste de no lograr un acuerdo rápidamente , aunque también hace crecer los beneficios de lograr ",1,Fem
174,palestino,44,-1,43,"Guterres , quien también habló el miércoles por teléfono con Arafat para conocer la versión de las dos partes , manifestó a Barak que la UE quiere cooperar para relanzar el proceso de paz sobre bases fuertes , no sólo entre Israel y los palestinos , sino también con Siria . ",Masc,conj,Plur,4,"Guterres , quien también habló el miércoles por teléfono con Arafat para conocer la versión de las dos partes , manifestó a Barak que la UE quiere cooperar para relanzar el proceso de paz sobre bases fuertes , no sólo entre Israel y las palestinas , sino también con Siria . ",44,Fem
178,abogado,15,16,14,"Al mismo tiempo , se dan cita miles de especialistas en distintas materias : los abogados alemanes celebran su encuentro anual , otro tanto sucede con los médicos , y expertos internacionales preparan a partir del viernes la cumbre de líderes reformistas . ",Masc,nsubj,Plur,4,"Al mismo tiempo , se dan cita miles de especialistas en distintas materias : las abogadas alemanes celebran su encuentro anual , otro tanto sucede con los médicos , y expertos internacionales preparan a partir del viernes la cumbre de líderes reformistas . ",15,Fem
194,productor,18,-1,17,"El aumento sostenido que ha experimentado la exportación vitivinícola durante los últimos cuatro meses fue valorado por los productores y exportadores como "" un logro muy significativo "" . ",Masc,obj,Plur,6,"El aumento sostenido que ha experimentado la exportación vitivinícola durante los últimos cuatro meses fue valorado por las productoras y exportadores como "" un logro muy significativo "" . ",18,Fem
200,uruguaya,27,-1,26,"Posteriormente , en opinión de Ruocco , "" vendrá la necesidad de vender , porque las empresas de Argentina van a salir a competir duramente con las uruguayas en los otros mercados internacionales "" . ",Fem,obj,Plur,4,"Posteriormente , en opinión de Ruocco , "" vendrá la necesidad de vender , porque las empresas de Argentina van a salir a competir duramente con los uruguayos en los otros mercados internacionales "" . ",27,Masc
201,presidente,1,2,0,"El presidente argentino anunció el pasado lunes un nuevo paquete de medidas destinadas a bajar el gasto público , que implica una reducción de entre el 12 y el 15 por ciento de los salarios de los empleados públicos . ",Masc,nsubj,Sing,4,"La presidenta argentina anunció el pasado lunes un nuevo paquete de medidas destinadas a bajar el gasto público , que implica una reducción de entre el 12 y el 15 por ciento de los salarios de los empleados públicos . ",1,Fem
213,embajadora,1,2,0,"La embajadora peruana ante la OEA aseguró que las elecciones del domingo fueron "" legítimas por el hecho de que acudió masivamente la población a votar "" . ",Fem,nsubj,Sing,4,"El embajador peruano ante la OEA aseguró que las elecciones del domingo fueron "" legítimas por el hecho de que acudió masivamente la población a votar "" . ",1,Masc
216,presidente,14,16,-1,"Fujimori se consideró el pasado lunes , en un mensaje a la nación , presidente reelegido dispuesto a asumir cinco años más la presidencia , al contar con el 51,22 por ciento de los votos totales , al 99,78 por ciento de las mesas escrutadas . ",Masc,obj,Sing,11,"Fujimori se consideró el pasado lunes , en un mensaje a la nación , presidenta reelegida dispuesta a asumir cinco años más la presidencia , al contar con el 51,22 por ciento de los votos totales , al 99,78 por ciento de las mesas escrutadas . ",14,Fem
220,embajadora,19,20,18,"Al reiterar las críticas que pronunció contra Stein ante la reunión del Consejo Permanente de la OEA , la embajadora peruana dijo que no se puede aceptar que las misiones observadoras se conviertan en instrumentos para avalar o no avalar procesos internos y rebatir la legislación interna . ",Fem,nsubj,Sing,4,"Al reiterar las críticas que pronunció contra Stein ante la reunión del Consejo Permanente de la OEA , el embajador peruano dijo que no se puede aceptar que las misiones observadoras se conviertan en instrumentos para avalar o no avalar procesos internos y rebatir la legislación interna . ",19,Masc
255,patrono,10,-1,9,"De esta forma , el Medef confirma que para los patronos es la firma del Care lo que da derecho al cobro de subsidios y no el simple hecho de haber cotizado al UNEDIC ( organismo que administra en Francia el seguro de desempleo ) . ",Masc,obl,Plur,4,"De esta forma , el Medef confirma que para las patronas es la firma del Care lo que da derecho al cobro de subsidios y no el simple hecho de haber cotizado al UNEDIC ( organismo que administra en Francia el seguro de desempleo ) . ",10,Fem
269,funcionario,26,-1,25,"La compañía hizo uso del recurso de apelación , tras lo cual la multa fue confirmada y reducida a 1.365 millones de pesos , explicó el funcionario . ",Masc,nsubj,Sing,3,"La compañía hizo uso del recurso de apelación , tras lo cual la multa fue confirmada y reducida a 1.365 millones de pesos , explicó la funcionaria . ",26,Fem
277,presidente,1,2,0,"El presidente estadounidense tomó buena nota de las preocupaciones europeas reiteradas por Schroeder , es decir , que el sistema antimisiles pone en peligro la cohesión de la Alianza y puede dar lugar a una nueva carrera armamentista . ",Masc,nsubj,Sing,4,"La presidenta estadounidense tomó buena nota de las preocupaciones europeas reiteradas por Schroeder , es decir , que el sistema antimisiles pone en peligro la cohesión de la Alianza y puede dar lugar a una nueva carrera armamentista . ",1,Fem
279,presidente,1,-1,0,"El presidente , según indicó por su parte la Casa Blanca , contestó diciendo que le preocupa la reacción de Europa y que tomará en cuenta su inquietud , pero que , en última instancia , la decisión se adoptará en función de intereses de seguridad nacional de EEUU . ",Masc,nsubj,Sing,3,"La presidenta , según indicó por su parte la Casa Blanca , contestó diciendo que le preocupa la reacción de Europa y que tomará en cuenta su inquietud , pero que , en última instancia , la decisión se adoptará en función de intereses de seguridad nacional de EEUU . ",1,Fem
283,gobernador,1,-1,0,"El gobernador mostró a los periodistas un golpe leve sufrido en la cabeza y un pequeño sangrado en el labio superior , causados por las piedras y naranjas arrojadas por los manifestantes . ",Masc,nsubj,Sing,3,"La gobernadora mostró a los periodistas un golpe leve sufrido en la cabeza y un pequeño sangrado en el labio superior , causados por las piedras y naranjas arrojadas por los manifestantes . ",1,Fem
289,profesor,5,-1,-1,"Hace dos semanas miles de profesores en huelga bloquearon la céntrica Avenida Paulista y se enfrentaron con piedras y palos a un destacamento de la Policía Militar que intentó desalojar el lugar , dejando un saldo de 21 heridos . ",Masc,nmod,Plur,5,"Hace dos semanas miles de profesoras en huelga bloquearon la céntrica Avenida Paulista y se enfrentaron con piedras y palos a un destacamento de la Policía Militar que intentó desalojar el lugar , dejando un saldo de 21 heridos . ",5,Fem
294,alumno,22,23,-1,"Sin embargo , para estudios de formación de la construcción , sector donde más oferta de empleo existe , sólo hay 172 alumnos matriculados en la CAV . ",Masc,obj,Plur,7,"Sin embargo , para estudios de formación de la construcción , sector donde más oferta de empleo existe , sólo hay 172 alumnas matriculadas en la CAV . ",22,Fem
309,hijo,18,-1,-1,"María Antonia Lucena nació el 24 de diciembre de 1948 en Málaga , está casada , tiene dos hijos , es licenciada en Ciencias Políticas por la Universidad Complutense de Madrid y pertenece al Cuerpo Técnico Superior de la Administración de la Seguridad Social . ",Masc,obj,Plur,3,"María Antonia Lucena nació el 24 de diciembre de 1948 en Málaga , está casada , tiene dos hijas , es licenciada en Ciencias Políticas por la Universidad Complutense de Madrid y pertenece al Cuerpo Técnico Superior de la Administración de la Seguridad Social . ",18,Fem
371,hombre,19,21,18,"El accidente se produjo poco antes del mediodía en el número 29 de la calle Pintor Cabrera cuando el hombre , identificado como M.L.R. y vecino de Alcoy , estaba trabajando con otro obrero en el inmueble y se precipitó al vacío por causas aún desconocidas . ",Masc,nsubj,Sing,12,"El accidente se produjo poco antes del mediodía en el número 29 de la calle Pintor Cabrera cuando la mujer , identificada como M.L.R. y vecino de Alcoy , estaba trabajando con otro obrero en el inmueble y se precipitó al vacío por causas aún desconocidas . ",19,Fem
379,consejero,2,-1,1,"Para el consejero se trata "" de un repunte algo superior a la tónica que este indicador venía arrojando en los últimos meses "" , en los que se mantenía una cierta estabilidad en la cifras de personas registradas como desempleadas . ",Masc,obl,Sing,4,"Para la consejera se trata "" de un repunte algo superior a la tónica que este indicador venía arrojando en los últimos meses "" , en los que se mantenía una cierta estabilidad en la cifras de personas registradas como desempleadas . ",2,Fem
400,candidato,8,-1,-1,"Se espera que se presenten más de 1.200 candidatos a las elecciones , que se celebrarán el mismo día que el fallecido ex primer ministro Keizo Obuchi cumpliría 63 años . ",Masc,nsubj,Plur,5,"Se espera que se presenten más de 1.200 candidatas a las elecciones , que se celebrarán el mismo día que el fallecido ex primer ministro Keizo Obuchi cumpliría 63 años . ",8,Fem
415,funcionario,1,-1,0,El funcionario indicó que el número de inmigrantes indocumentados detenidos y deportados a su país en este año creció un 8 por ciento en comparación con la cifra registrada en el mismo periodo del año pasado . ,Masc,nsubj,Sing,3,La funcionaria indicó que el número de inmigrantes indocumentados detenidos y deportados a su país en este año creció un 8 por ciento en comparación con la cifra registrada en el mismo periodo del año pasado . ,1,Fem
452,presidente,1,-1,0,"El presidente aseguró que "" no va a intervenir "" en la designación de los nuevos miembros del CNE ni en la fijación de la nueva fecha de los comicios , y afirmó que el día que los venezolanos no confíen en él se retirará "" a cuidar a sus hijos , a jugar al béisbol y a llevar una existencia normal , porque la vida continúa "" . ",Masc,nsubj,Sing,3,"La presidenta aseguró que "" no va a intervenir "" en la designación de los nuevos miembros del CNE ni en la fijación de la nueva fecha de los comicios , y afirmó que el día que los venezolanos no confíen en él se retirará "" a cuidar a sus hijos , a jugar al béisbol y a llevar una existencia normal , porque la vida continúa "" . ",1,Fem
452,hijo,50,-1,49,"El presidente aseguró que "" no va a intervenir "" en la designación de los nuevos miembros del CNE ni en la fijación de la nueva fecha de los comicios , y afirmó que el día que los venezolanos no confíen en él se retirará "" a cuidar a sus hijos , a jugar al béisbol y a llevar una existencia normal , porque la vida continúa "" . ",Masc,obj,Plur,4,"El presidente aseguró que "" no va a intervenir "" en la designación de los nuevos miembros del CNE ni en la fijación de la nueva fecha de los comicios , y afirmó que el día que los venezolanos no confíen en él se retirará "" a cuidar a sus hijas , a jugar al béisbol y a llevar una existencia normal , porque la vida continúa "" . ",50,Fem
467,candidato,3,-1,-1,"Más de 1.200 candidatos se presentarán a las elecciones , cuya celebración coincidirá con los 63 años de edad que cumpliría el ex primer ministro Keizo Obuchi , fallecido el 14 de mayo víctima de una hemorragia cerebral . ",Masc,nsubj,Plur,5,"Más de 1.200 candidatas se presentarán a las elecciones , cuya celebración coincidirá con los 63 años de edad que cumpliría el ex primer ministro Keizo Obuchi , fallecido el 14 de mayo víctima de una hemorragia cerebral . ",3,Fem
493,hombre,22,-1,21,"Katsav , de 54 años , intentará presentar la eventual elección de Peres como una preferencia por la elite frente a un hombre del pueblo , ya que él nació y se crió en una familia modesta . ",Masc,obl,Sing,7,"Katsav , de 54 años , intentará presentar la eventual elección de Peres como una preferencia por la elite frente a una mujer del pueblo , ya que él nació y se crió en una familia modesta . ",22,Fem
515,narrador,1,-1,0,"El narrador hace que las situaciones no sean otra cosa que ridículas consideraciones o trivialidades convertidas en ideas trascendentes ... sin trascendencia porque estamos ante el espejo que la vida es : vulgar , ridículo , grotesco , inhumano . ",Masc,nsubj,Sing,3,"La narradora hace que las situaciones no sean otra cosa que ridículas consideraciones o trivialidades convertidas en ideas trascendentes ... sin trascendencia porque estamos ante el espejo que la vida es : vulgar , ridículo , grotesco , inhumano . ",1,Fem
531,investigador,57,-1,56,"Se le ocurrió leer la "" Guerra de Troya "" , de George Grote , y de allí se fue al "" Dictionaire historique et critique "" , de Pierre Bayle ( 1697 ) ; se dio cuenta que , ante tanta erudición , hacía falta mucho valor para escribir sobre Elena de Troya , pues los investigadores no aceptarían fácilmente un trabajo trivial . ",Masc,nsubj,Plur,3,"Se le ocurrió leer la "" Guerra de Troya "" , de George Grote , y de allí se fue al "" Dictionaire historique et critique "" , de Pierre Bayle ( 1697 ) ; se dio cuenta que , ante tanta erudición , hacía falta mucho valor para escribir sobre Elena de Troya , pues las investigadoras no aceptarían fácilmente un trabajo trivial . ",57,Fem
546,hombre,25,26,24,"Pero Germán de Granda contempla sus muchos estudios , sus largas vigilias , la incomodidad de los infinitos viajes , y , como es un hombre ingenuo ( Dios le guarde siempre la ingenuidad ) , al acabar el libro se despacha en un prólogo apasionado - - Es muy posible que para algunos lectores superficiales , de los que abundan ( como en todas las especialidades científicas , me temo ) en el campo de la Lingüística y se limitan , por lo regular , a echar una mirada distraída al índice o , cuando mucho , a leer unas pocas páginas de la obra que llega a sus manos para emitir luego , con este exclusivo fundamento , sesudos y generalmente displicentes juicios de valor , etcétera - . ",Masc,advcl,Sing,16,"Pero Germán de Granda contempla sus muchos estudios , sus largas vigilias , la incomodidad de los infinitos viajes , y , como es una mujer ingenua ( Dios le guarde siempre la ingenuidad ) , al acabar el libro se despacha en un prólogo apasionado - - Es muy posible que para algunos lectores superficiales , de los que abundan ( como en todas las especialidades científicas , me temo ) en el campo de la Lingüística y se limitan , por lo regular , a echar una mirada distraída al índice o , cuando mucho , a leer unas pocas páginas de la obra que llega a sus manos para emitir luego , con este exclusivo fundamento , sesudos y generalmente displicentes juicios de valor , etcétera - . ",25,Fem
624,mujer,8,9,7,"Veo su foto en los periódicos : una mujer joven , atractiva , probablemente zamba , esto es , mestiza de negra e india ; oscura de color , en fin , como son oscuros todos los habitantes de las villas limeñas , arrabales de miseria en donde se hacinan cientos de miles de personas . ",Fem,obj,Sing,50,"Veo su foto en los periódicos : un hombre joven , atractivo , probablemente zambo , esto es , mestizo de negra e india ; oscuro de color , en fin , como son oscuras todos los habitantes de las villas limeñas , arrabales de miseria en donde se hacinan cientos de miles de personas . ",8,Masc
632,hermana,16,-1,15,"Fuimos hasta allí , tras un largo trayecto de traqueteantes autobuses , para almorzar con su hermana . ",Fem,obl,Sing,4,"Fuimos hasta allí , tras un largo trayecto de traqueteantes autobuses , para almorzar con su hermano . ",16,Masc
671,momia,1,-1,0,La momia acabó en un frigorífico de la Universidad de Innsbruck . ,Fem,nsubj,Sing,3,El papi acabó en un frigorífico de la Universidad de Innsbruck . ,1,Masc
716,prostituta,7,-1,6,Cuando los ejecutivos viajan y necesitan una prostituta de lujo la buscan en los anuncios de algún escort service . ,Fem,obj,Sing,5,Cuando los ejecutivos viajan y necesitan un prostitut de lujo la buscan en los anuncios de algún escort service . ,7,Masc
819,hijo,8,-1,7,- No es eso - intentó explicar mi hijo tras unos momentos de reflexión - . ,Masc,nsubj,Sing,3,- No es eso - intentó explicar mi hija tras unos momentos de reflexión - . ,8,Fem
825,hijo,4,-1,3,Pedí entonces a mi hijo que se deshiciera de una de las dos figuritas . ,Masc,iobj,Sing,4,Pedí entonces a mi hija que se deshiciera de una de las dos figuritas . ,4,Fem
828,hijo,2,-1,1,Pero mis hijos habían cerrado las puertas y me miraban fijamente . ,Masc,nsubj,Plur,3,Pero mis hijas habían cerrado las puertas y me miraban fijamente . ,2,Fem
832,mujer,7,-1,6,- Pues nosotros tampoco - respondió mi mujer a nombre de todos - . ,Fem,nsubj,Sing,3,- Pues nosotros tampoco - respondió mi hombre a nombre de todos - . ,7,Masc
848,mujer,3,-1,2,Desperté a mi mujer llorando y le rogué de rodillas que tomara ella la decisión . ,Fem,obj,Sing,4,Desperté a mi hombre llorando y le rogué de rodillas que tomara ella la decisión . ,3,Masc
859,chico,3,-1,2,Ahora rezan los chicos frente al belén con más devoción que nunca y la casa vive llena de chavales . ,Masc,nsubj,Plur,3,Ahora rezan las chicas frente al belén con más devoción que nunca y la casa vive llena de chavales . ,3,Fem
881,chico,6,-1,5,"A éstas se las rifaban los chicos porque eran altas , rubias como la cerveza y no tenían tantos prejuicios como las de Cáceres , Ávila o La Coruña . ",Masc,nsubj,Plur,3,"A éstas se las rifaban las chicas porque eran altas , rubias como la cerveza y no tenían tantos prejuicios como las de Cáceres , Ávila o La Coruña . ",6,Fem
882,chica,12,-1,11,"O sea , que en este campo del intercambio de relaciones las chicas de entonces apenas si teníamos oportunidades , y si las teníamos era porque las otras les habían dado calabazas . ",Fem,nsubj,Plur,5,"O sea , que en este campo del intercambio de relaciones los chicos de entonces apenas si teníamos oportunidades , y si las teníamos era porque las otras les habían dado calabazas . ",12,Masc
883,extranjera,3,-1,2,Muchas de estas extranjeras se casaron con españoles o con hispanoamericanos que venían becados por sus gobiernos . ,Fem,nmod,Plur,4,Muchas de estos extranjeros se casaron con españoles o con hispanoamericanos que venían becados por sus gobiernos . ,3,Masc
965,padre,26,-1,25,"Quiero decir que , como saben , el Consejo de Ministros acaba de aprobar un proyecto de ley de reforma del Código Civil para que los padres puedan registrar a sus hijos con cualquier nombre , incluso inventado , aunque aún persisten algunas limitaciones , qué lata . ",Masc,nsubj,Plur,3,"Quiero decir que , como saben , el Consejo de Ministros acaba de aprobar un proyecto de ley de reforma del Código Civil para que las madres puedan registrar a sus hijos con cualquier nombre , incluso inventado , aunque aún persisten algunas limitaciones , qué lata . ",26,Fem
965,hijo,31,-1,30,"Quiero decir que , como saben , el Consejo de Ministros acaba de aprobar un proyecto de ley de reforma del Código Civil para que los padres puedan registrar a sus hijos con cualquier nombre , incluso inventado , aunque aún persisten algunas limitaciones , qué lata . ",Masc,obj,Plur,4,"Quiero decir que , como saben , el Consejo de Ministros acaba de aprobar un proyecto de ley de reforma del Código Civil para que los padres puedan registrar a sus hijas con cualquier nombre , incluso inventado , aunque aún persisten algunas limitaciones , qué lata . ",31,Fem
972,chiquilla,50,51,49,"Otros nombres preciosos para niños y niñas españoles nacidos en estos tiempos serían Hundido Madrid o Césped Del Bernabéu Floro y Floro , o Cabraloca Barça Núñez y Núñez , o , en caso de gemelos , Agujero Banesto y Panoli Morgan Conde y Conde , y desde luego alguna chiquilla vistosa se tendría que llamar Piedra Agujereada En Chalé De Somosaguas González y González . ",Fem,nsubj,Sing,4,"Otros nombres preciosos para niños y niñas españoles nacidos en estos tiempos serían Hundido Madrid o Césped Del Bernabéu Floro y Floro , o Cabraloca Barça Núñez y Núñez , o , en caso de gemelos , Agujero Banesto y Panoli Morgan Conde y Conde , y desde luego algún chiquillo vistoso se tendría que llamar Piedra Agujereada En Chalé De Somosaguas González y González . ",50,Masc
974,niño,11,-1,10,"Y ya sé que , con esos nombres , todos nuestros niños parecerán medio comanches , pero , hoy por hoy , la Historia de este país no da para más . ",Masc,nsubj,Plur,4,"Y ya sé que , con esos nombres , todos nuestras niñas parecerán medio comanches , pero , hoy por hoy , la Historia de este país no da para más . ",11,Fem
1022,actor,6,-1,5,El Hollywood clásico quería que sus actores se volvieran estrellas y que su leyenda ( blanca o negra ) sustituyese al medidor de categoría artística . ,Masc,nsubj,Plur,3,El Hollywood clásico quería que sus actrices se volvieran estrellas y que su leyenda ( blanca o negra ) sustituyese al medidor de categoría artística . ,6,Fem
1026,mujer,17,-1,16,"Confieso que , personalmente , no le veo tanto carisma o tanto fulgor físico , pero las mujeres - y algunos hombres - le suelen encontrar altamente atractivo . ",Fem,nsubj,Plur,8,"Confieso que , personalmente , no le veo tanto carisma o tanto fulgor físico , pero los hombres - y algunos hombres - le suelen encontrar altamente atractivo . ",17,Masc
1028,hombre,6,-1,-1,"Igual que Greta Garbo atraía a hombres y mujeres por su duplicidad , Richard Gere seduce a mujeres y a hombres . ",Masc,obj,Plur,5,"Igual que Greta Garbo atraía a mujeres y mujeres por su duplicidad , Richard Gere seduce a mujeres y a hombres . ",6,Fem
1028,mujer,17,-1,-1,"Igual que Greta Garbo atraía a hombres y mujeres por su duplicidad , Richard Gere seduce a mujeres y a hombres . ",Fem,obj,Plur,6,"Igual que Greta Garbo atraía a hombres y mujeres por su duplicidad , Richard Gere seduce a hombres y a hombres . ",17,Masc
1037,mujer,1,-1,0,La mujer toma riendas que nunca usó . ,Fem,nsubj,Sing,3,El hombre toma riendas que nunca usó . ,1,Masc
1039,hombre,1,-1,0,"El hombre , en tanto , se asumisa y se mide en poses que no consideró nunca . ",Masc,nsubj,Sing,3,"La mujer , en tanto , se asumisa y se mide en poses que no consideró nunca . ",1,Fem
1041,cazador,1,-1,-1,De cazador se convierte casi - algunos hombres - en presa . ,Masc,obl,Sing,3,De cazadora se convierte casi - algunos hombres - en presa . ,1,Fem
1041,hombre,7,-1,6,De cazador se convierte casi - algunos hombres - en presa . ,Masc,nmod,Plur,5,De cazador se convierte casi - algunas mujeres - en presa . ,7,Fem
1064,hombre,8,-1,7,"El otro día , en Thailandia , un hombre se arrojó al vacío con un libro entre las manos . ",Masc,nsubj,Sing,3,"El otro día , en Thailandia , una mujer se arrojó al vacío con un libro entre las manos . ",8,Fem
1084,niño,7,-1,6,"es que es imposible , que los niños lo copian todo y luego pasa lo que pasa : a fuerza de situar la justicia sobre todas las cosas , desaparecen los bandidos y los pobres y se acaban las guerras ; el hambre se va a hacer puñetas , el agua domina al fuego , el amor penetra en el corazón humano , la sabiduría toma el poder y todos , al ser mejores , nos vamos a tomar por culo . ",Masc,nsubj,Plur,3,"es que es imposible , que las niñas lo copian todo y luego pasa lo que pasa : a fuerza de situar la justicia sobre todas las cosas , desaparecen los bandidos y los pobres y se acaban las guerras ; el hambre se va a hacer puñetas , el agua domina al fuego , el amor penetra en el corazón humano , la sabiduría toma el poder y todos , al ser mejores , nos vamos a tomar por culo . ",7,Fem
1123,compañero,2,9,1,"Mientras sus compañeros de - quinta - , también inservibles para la causa de Clemente , resistían sin mayores agobios en su club , él empezaba a ser una estrella intermitente . ",Masc,nsubj,Plur,16,"Mientras sus compañeras de - quinta - , también inservibles para la causa de Clemente , resistían sin mayores agobios en su club , él empezaba a ser una estrella intermitente . ",2,Fem
1127,compañero,17,-1,16,"Butragueño , en el despliegue y en el repliegue , sigue liderando , representando , a sus compañeros . ",Masc,obj,Plur,5,"Butragueño , en el despliegue y en el repliegue , sigue liderando , representando , a sus compañeras . ",17,Fem
