ID,focus,focus ID,focus ID after,adj idx,det idx,before,before number,deprel,gender,dep tree size,after,after number
24,ejemplo,11,10,10,9,Su grabación de Las cuatro estaciones de Vivaldi es un buen ejemplo de su estilo . ,Sing,root,Masc,17,Sus grabaciones de Las cuatro estaciones de Vivaldi son buenes ejemplos de su estilo . ,Plur
26,hoja,1,2,4,-1,"Presentan hojas disectas , laticíferos y las flores son usualmente zigomorfas . ",Plur,obj,Fem,5,"Presentan una hoja una disecta , un laticífero y las flores son usualmente zigomorfas . ",Sing
26,flor,7,7,-1,6,"Presentan hojas disectas , laticíferos y las flores son usualmente zigomorfas . ",Plur,nsubj,Fem,3,"Presentan hojas disectas , laticíferos y la flor es usualmente una zigomorfa . ",Sing
30,plan,4,4,-1,3,"El níquel incumple el plan de producción y de exportaciones en 6 mil 700 toneladas , lo que significó dejar de ingresar unos 120 millones de dólares , también en condiciones de una coyuntura de precios más favorable que la prevista en el Plan . ",Sing,obj,Masc,8,"El níquel incumple los planes de producción y de exportaciones en 6 mil 700 toneladas , lo que significó dejar de ingresar unos 120 millones de dólares , también en condiciones de una coyuntura de precios más favorable que la prevista en el Plan . ",Plur
30,tonelada,14,15,-1,-1,"El níquel incumple el plan de producción y de exportaciones en 6 mil 700 toneladas , lo que significó dejar de ingresar unos 120 millones de dólares , también en condiciones de una coyuntura de precios más favorable que la prevista en el Plan . ",Plur,obl,Fem,6,"El níquel incumple el plan de producción y de exportaciones en 6 mil 700 una tonelada , lo que significó dejar de ingresar unos 120 millones de dólares , también en condiciones de una coyuntura de precios más favorable que la prevista en el Plan . ",Sing
30,condición,30,31,-1,-1,"El níquel incumple el plan de producción y de exportaciones en 6 mil 700 toneladas , lo que significó dejar de ingresar unos 120 millones de dólares , también en condiciones de una coyuntura de precios más favorable que la prevista en el Plan . ",Plur,obl,Fem,18,"El níquel incumple el plan de producción y de exportaciones en 6 mil 700 toneladas , lo que significó dejar de ingresar unos 120 millones de dólares , también en una condición de una coyuntura de precios más favorable que la prevista en el Plan . ",Sing
33,nivel,4,4,5,-1,"Amaya refirió que a nivel nacional hay 7,870 trabajadores no docentes , quienes "" hemos decidido que si vamos a paro el lunes ( hoy ) se afectará las clases , porque nosotros somos los que estamos en los centros educativos "" , sentenció . ",Sing,obl,Masc,4,"Amaya refirió que a niveles nacional hay 7,870 trabajadores no docentes , quienes "" hemos decidido que si vamos a paro el lunes ( hoy ) se afectará las clases , porque nosotros somos los que estamos en los centros educativos "" , sentenció . ",Plur
36,último,1,1,-1,-1,"Por último , las comunidades con mayor número de hipotecas canceladas registralmente por cada cien mil habitantes son Murcia ( 144 ) , La Rioja ( 118 ) y la Comunidad Valenciana ( 113 ) , además de Melilla ( 118 ) . ",Sing,nmod,Masc,4,"Por últimos , las comunidades con mayor número de hipotecas canceladas registralmente por cada cien mil habitantes son Murcia ( 144 ) , La Rioja ( 118 ) y la Comunidad Valenciana ( 113 ) , además de Melilla ( 118 ) . ",Plur
36,comunidad,4,4,-1,3,"Por último , las comunidades con mayor número de hipotecas canceladas registralmente por cada cien mil habitantes son Murcia ( 144 ) , La Rioja ( 118 ) y la Comunidad Valenciana ( 113 ) , además de Melilla ( 118 ) . ",Plur,nsubj,Fem,15,"Por último , la comunidad con mayor número de hipotecas canceladas registralmente por cada cien mil habitantes es Murcia ( 144 ) , La Rioja ( 118 ) y la Comunidad Valenciana ( 113 ) , además de Melilla ( 118 ) . ",Sing
38,ingreso,7,7,8,5,"El que la publicidad sea el principal ingreso económico de los medios , los vincula a la economía general y a los puntos de vista e intereses de los grandes grupos económicos , entre los que también están los mismos grupos de comunicación . ",Sing,csubj,Masc,14,"El que las publicidades sean los principal ingresos económicos de los medios , los vincula a la economía general y a los puntos de vista e intereses de los grandes grupos económicos , entre los que también están los mismos grupos de comunicación . ",Plur
38,economía,17,17,18,16,"El que la publicidad sea el principal ingreso económico de los medios , los vincula a la economía general y a los puntos de vista e intereses de los grandes grupos económicos , entre los que también están los mismos grupos de comunicación . ",Sing,obl,Fem,29,"El que la publicidad sea el principal ingreso económico de los medios , los vincula a las economías general y a los puntos de vista e intereses de los grandes grupos económicos , entre los que también están los mismos grupos de comunicación . ",Plur
40,densidad,1,1,-1,0,"La densidad de población era de 34,47 hab . / km ² . ",Sing,nsubj,Fem,5,"Las densidades de población eran de 34,47 hab . / km ² . ",Plur
41,calidad,7,7,8,6,"Aduana Vieja se ha distinguido por la calidad formal de sus ediciones y para ello ha contado desde sus inicios con la colaboración de importantes maestros de la pintura cubana e ilustradores entre los que se encuentran Baruj Salinas , Ramón Alejandro , Gina Pellón , Pedro Ramón López , Viredo Espinosa , Raúl de Zárate , Tony Évora , Nelson Villalobo , Raúl Villarreal , Carmelo González y Alen Lauzán , por mencionar algunos ejemplos . ",Sing,obl,Fem,8,"Aduana Vieja se ha distinguido por las calidades formal de sus ediciones y para ello ha contado desde sus inicios con la colaboración de importantes maestros de la pintura cubana e ilustradores entre los que se encuentran Baruj Salinas , Ramón Alejandro , Gina Pellón , Pedro Ramón López , Viredo Espinosa , Raúl de Zárate , Tony Évora , Nelson Villalobo , Raúl Villarreal , Carmelo González y Alen Lauzán , por mencionar algunos ejemplos . ",Plur
41,inicio,19,19,-1,18,"Aduana Vieja se ha distinguido por la calidad formal de sus ediciones y para ello ha contado desde sus inicios con la colaboración de importantes maestros de la pintura cubana e ilustradores entre los que se encuentran Baruj Salinas , Ramón Alejandro , Gina Pellón , Pedro Ramón López , Viredo Espinosa , Raúl de Zárate , Tony Évora , Nelson Villalobo , Raúl Villarreal , Carmelo González y Alen Lauzán , por mencionar algunos ejemplos . ",Plur,obl,Masc,4,"Aduana Vieja se ha distinguido por la calidad formal de sus ediciones y para ello ha contado desde su inicio con la colaboración de importantes maestros de la pintura cubana e ilustradores entre los que se encuentran Baruj Salinas , Ramón Alejandro , Gina Pellón , Pedro Ramón López , Viredo Espinosa , Raúl de Zárate , Tony Évora , Nelson Villalobo , Raúl Villarreal , Carmelo González y Alen Lauzán , por mencionar algunos ejemplos . ",Sing
41,colaboración,22,22,-1,21,"Aduana Vieja se ha distinguido por la calidad formal de sus ediciones y para ello ha contado desde sus inicios con la colaboración de importantes maestros de la pintura cubana e ilustradores entre los que se encuentran Baruj Salinas , Ramón Alejandro , Gina Pellón , Pedro Ramón López , Viredo Espinosa , Raúl de Zárate , Tony Évora , Nelson Villalobo , Raúl Villarreal , Carmelo González y Alen Lauzán , por mencionar algunos ejemplos . ",Sing,obl,Fem,57,"Aduana Vieja se ha distinguido por la calidad formal de sus ediciones y para ello ha contado desde sus inicios con las colaboraciones de importantes maestros de la pintura cubana e ilustradores entre los que se encuentran Baruj Salinas , Ramón Alejandro , Gina Pellón , Pedro Ramón López , Viredo Espinosa , Raúl de Zárate , Tony Évora , Nelson Villalobo , Raúl Villarreal , Carmelo González y Alen Lauzán , por mencionar algunos ejemplos . ",Plur
43,jefe,5,5,-1,4,"Entonces , mientras que el jefe de Estado tenía muchos poderes de jure , tenía muy pocos de facto . ",Sing,nsubj,Masc,5,"Entonces , mientras que los jefes de Estado tenían muchos poderes de jure , tenía muy pocos de facto . ",Plur
43,poder,10,10,-1,9,"Entonces , mientras que el jefe de Estado tenía muchos poderes de jure , tenía muy pocos de facto . ",Plur,obj,Masc,5,"Entonces , mientras que el jefe de Estado tenía mucho poder de jure , tenía muy pocos de facto . ",Sing
43,facto,18,18,-1,-1,"Entonces , mientras que el jefe de Estado tenía muchos poderes de jure , tenía muy pocos de facto . ",Sing,obl,Masc,3,"Entonces , mientras que el jefe de Estado tenía muchos poderes de jure , tenía muy pocos de factos . ",Plur
44,vez,2,2,1,0,La última vez ni me saludaron ni me dieron las gracias por comprar . ,Sing,obl,Fem,4,Las últimas veces ni me saludaron ni me dieron las gracias por comprar . ,Plur
44,gracia,10,10,-1,9,La última vez ni me saludaron ni me dieron las gracias por comprar . ,Plur,obj,Fem,3,La última vez ni me saludaron ni me dieron la gracia por comprar . ,Sing
45,dinero,4,4,-1,3,"Se quedaron con mi dinero , me mandaron un seguimiento falso de seur y nunca llegó nada a pesar de que el seguimiento decía como entregado . ",Sing,obl,Masc,4,"Se quedaron con mi dineros , me mandaron un seguimiento falso de seur y nunca llegó nada a pesar de que el seguimiento decía como entregado . ",Plur
48,canción,4,4,6,3,Es una de las canciones más exitosas entrando en el Top 10 en varios países . ,Plur,nmod,Fem,6,Es una de la canción más una exitosa entrando en el Top 10 en varios países . ,Sing
50,disco,9,9,-1,7,"No hay piedad para los condenados es el segundo disco de la banda madrileña Santa , que ve la luz en el año 1985 , bajo el sello discográfico Chapa Records . ",Sing,root,Masc,33,"No hay piedad para los condenados son los segundo discos de la banda madrileña Santa , que ve la luz en el año 1985 , bajo el sello discográfico Chapa Records . ",Plur
51,clásico,2,2,-1,1,"Entre los clásicos se encuentran autores como Marcel Proust , Leon Tolstoi , Fiodor Dostoievski , Giovanni Bocaccio y Molière . ",Plur,obl,Masc,4,"Entre el clásico se encuentran autores como Marcel Proust , Leon Tolstoi , Fiodor Dostoievski , Giovanni Bocaccio y Molière . ",Sing
52,lituano,9,9,-1,8,El héroe prusiano Herkus Monte fue aupado por los lituanos durante el régimen comunista soviético como un símbolo de resistencia y libertad . ,Plur,obl,Masc,4,El héroe prusiano Herkus Monte fue aupado por el lituano durante el régimen comunista soviético como un símbolo de resistencia y libertad . ,Sing
52,régimen,12,12,14,11,El héroe prusiano Herkus Monte fue aupado por los lituanos durante el régimen comunista soviético como un símbolo de resistencia y libertad . ,Sing,obl,Masc,6,El héroe prusiano Herkus Monte fue aupado por los lituanos durante los regímenes comunista soviéticos como un símbolo de resistencia y libertad . ,Plur
52,símbolo,17,16,-1,16,El héroe prusiano Herkus Monte fue aupado por los lituanos durante el régimen comunista soviético como un símbolo de resistencia y libertad . ,Sing,obl,Masc,8,El héroe prusiano Herkus Monte fue aupado por los lituanos durante el régimen comunista soviético como símbolos de resistencia y libertad . ,Plur
54,hogar,3,2,4,2,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Sing,obj,Masc,4,"Al crear hogares funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Plur
54,familia,10,9,11,9,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Sing,nsubj,Fem,4,"Al crear un hogar funcional , igual que cuando familias acogedoras se ofrecen a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Plur
54,niño,18,18,-1,17,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Sing,obj,Masc,4,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algunos niños , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Plur
54,plaza,24,25,-1,-1,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Plur,obj,Fem,4,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" una plaza "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Sing
54,plaza,38,38,-1,37,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como las plazas . ",Plur,nmod,Fem,4,"Al crear un hogar funcional , igual que cuando una familia acogedora se ofrece a atender a algún niño , jamás debieran ofertar "" plazas "" , porque ni los educadores ni los niños son predecibles como la plaza . ",Sing
56,triunfo,1,1,-1,0,Este triunfo supuso su comienzo en el mundo de moda . ,Sing,nsubj,Masc,3,Estos triunfos supusieron su comienzo en el mundo de moda . ,Plur
56,comienzo,4,4,-1,3,Este triunfo supuso su comienzo en el mundo de moda . ,Sing,obj,Masc,8,Este triunfo supuso sus comienzos en el mundo de moda . ,Plur
59,vez,3,2,-1,2,George aparece una vez más en Back to the Future III . ,Sing,obl,Fem,4,George aparece veces más en Back to the Future III . ,Plur
61,eurozona,9,9,-1,8,El Banco Central Europeo advirtió este martes que la eurozona necesita no sólo normas mucho más estrictas sobre el endeudamiento soberano sino mayores controles en el endeudamiento de consumidores y empresas . ,Sing,nsubj,Fem,3,El Banco Central Europeo advirtió este martes que las eurozonas necesitan no sólo normas mucho más estrictas sobre el endeudamiento soberano sino mayores controles en el endeudamiento de consumidores y empresas . ,Plur
61,norma,13,14,16,-1,El Banco Central Europeo advirtió este martes que la eurozona necesita no sólo normas mucho más estrictas sobre el endeudamiento soberano sino mayores controles en el endeudamiento de consumidores y empresas . ,Plur,obj,Fem,21,El Banco Central Europeo advirtió este martes que la eurozona necesita no sólo una norma mucho más una estricta sobre el endeudamiento soberano sino mayores controles en el endeudamiento de consumidores y empresas . ,Sing
64,potenciador,2,3,-1,-1,"No empleamos potenciadores de sabor ni ningún artificio culinario que pueda alterar nuestra filosofía de "" comida que cocinan las mamas y abuelas griegas "" . ",Plur,obj,Masc,24,"No empleamos un potenciador de sabor ni ningún artificio culinario que pueda alterar nuestra filosofía de "" comida que cocinan las mamas y abuelas griegas "" . ",Sing
67,posición,5,5,-1,-1,""" Si ellos cambian de posición , nosotros no tenemos una posición bloqueada "" , ha dicho . ",Sing,obl,Fem,3,""" Si ellos cambian de posiciones , nosotros no tenemos una posición bloqueada "" , ha dicho . ",Plur
67,posición,11,10,12,10,""" Si ellos cambian de posición , nosotros no tenemos una posición bloqueada "" , ha dicho . ",Sing,obj,Fem,4,""" Si ellos cambian de posición , nosotros no tenemos posiciones bloqueadas "" , ha dicho . ",Plur
68,avenida,7,7,-1,6,Brickell también diseñó Brickell Hammock y su avenida como un centro de mansiones y de lujosas casas . ,Sing,conj,Fem,4,Brickell también diseñó Brickell Hammock y sus avenidas como un centro de mansiones y de lujosas casas . ,Plur
68,centro,10,9,-1,9,Brickell también diseñó Brickell Hammock y su avenida como un centro de mansiones y de lujosas casas . ,Sing,nmod,Masc,10,Brickell también diseñó Brickell Hammock y su avenida como centros de mansiones y de lujosas casas . ,Plur
69,hora,7,7,-1,5,"Su detención ocurrió alrededor de las 02:10 horas de ayer , cuando intentaba escapar en el taxi que acababa de robar . ",Plur,obl,Fem,8,"Su detención ocurrió alrededor de la 02:10 hora de ayer , cuando intentaba escapar en el taxi que acababa de robar . ",Sing
69,taxi,16,16,-1,15,"Su detención ocurrió alrededor de las 02:10 horas de ayer , cuando intentaba escapar en el taxi que acababa de robar . ",Sing,obl,Masc,8,"Su detención ocurrió alrededor de las 02:10 horas de ayer , cuando intentaba escapar en los taxis que acababa de robar . ",Plur
75,empresa,2,2,-1,1,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Sing,obl,Fem,4,"En las empresas también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Plur
75,cuanta,26,26,-1,-1,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Sing,obj,Fem,7,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuantas de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Plur
75,contrato,37,37,-1,36,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Sing,obj,Masc,3,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar los contratos , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Plur
75,agencia,46,46,-1,45,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Sing,obl,Fem,4,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a las agencias y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Plur
75,primo,52,52,-1,51,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a su primo que Alma estaba hay , el cual la busca y la regresa a su casa . ",Sing,obj,Masc,15,"En la empresa también trabaja Juan Pablo quien es el nuevo socio , quien lucha por convertir a Alma en una modelo , Alma se da cuanta de que el trabaja alli y decide no firmar el contrato , la malvada de Abigail llega a la agencia y le informa a sus primos que Alma estaba hay , el cual la busca y la regresa a su casa . ",Plur
76,pista,1,1,-1,0,"La pista fue primero lanzado a través de iTunes France el 28 de marzo , y globalmente en iTunes el 29 de marzo de 2011 . ",Sing,nsubj:pass,Fem,3,"Las pistas fue primero lanzado a través de iTunes France el 28 de marzo , y globalmente en iTunes el 29 de marzo de 2011 . ",Plur
78,hormona,2,3,3,-1,"También hay hormonas tróficas y no tróficas , según el blanco sobre el cual actúan . ",Plur,obj,Fem,6,"También hay una hormona una trófica y no una trófica , según el blanco sobre el cual actúan . ",Sing
78,blanco,10,10,-1,9,"También hay hormonas tróficas y no tróficas , según el blanco sobre el cual actúan . ",Sing,obl,Masc,9,"También hay hormonas tróficas y no tróficas , según los blancos sobre el cual actúan . ",Plur
79,establecimiento,4,4,-1,3,"Cabe mencionar que dicho establecimiento no contaba con licencia de funcionamiento municipal , ni certificado de Defensa Civil . ",Sing,nsubj,Masc,3,"Cabe mencionar que dichos establecimientos no contaban con licencia de funcionamiento municipal , ni certificado de Defensa Civil . ",Plur
79,licencia,8,8,11,-1,"Cabe mencionar que dicho establecimiento no contaba con licencia de funcionamiento municipal , ni certificado de Defensa Civil . ",Sing,obl,Fem,12,"Cabe mencionar que dicho establecimiento no contaba con licencias de funcionamiento municipal , ni certificado de Defensa Civil . ",Plur
80,nación,6,6,-1,5,Tellius se encuentra dividida en varias naciones que son gobernadas por beorcs o laguz . ,Plur,nmod,Fem,11,Tellius se encuentra dividida en varias nación que son gobernadas por beorcs o laguz . ,Sing
84,pizza,1,1,-1,0,Las pizzas son buenas pero muy muy caras . ,Plur,nsubj,Fem,3,La pizza es una buena pero muy muy caras . ,Sing
87,vez,4,4,-1,-1,Fue reportada por primera vez por el equipo de la misión COROT en 2008 . ,Sing,obl,Fem,4,Fue reportada por primera veces por el equipo de la misión COROT en 2008 . ,Plur
87,equipo,7,7,-1,6,Fue reportada por primera vez por el equipo de la misión COROT en 2008 . ,Sing,obl,Masc,8,Fue reportada por primera vez por los equipos de la misión COROT en 2008 . ,Plur
88,literatura,3,3,-1,2,Aparece en la literatura con la denominación aceitera de hoja de lata por ser frecuente que se elabore con este material . ,Sing,obl,Fem,4,Aparece en las literaturas con la denominación aceitera de hoja de lata por ser frecuente que se elabore con este material . ,Plur
88,material,20,20,-1,19,Aparece en la literatura con la denominación aceitera de hoja de lata por ser frecuente que se elabore con este material . ,Sing,obl,Masc,4,Aparece en la literatura con la denominación aceitera de hoja de lata por ser frecuente que se elabore con estos materiales . ,Plur
92,mes,6,6,7,-1,Fernando el Católico lo ratificó un mes después . ,Sing,obl,Masc,4,Fernando el Católico lo ratificó un meses después . ,Plur
97,vez,1,1,-1,0,"Esta vez , sorprende con un lujoso hotel de 213 habitaciones y suites en el paseo marítimo de Macao , marcando lo que será una nueva era en elegancia y sofisticación hotelera . ",Sing,obl,Fem,4,"Estas veces , sorprende con un lujoso hotel de 213 habitaciones y suites en el paseo marítimo de Macao , marcando lo que será una nueva era en elegancia y sofisticación hotelera . ",Plur
97,hotel,7,6,6,5,"Esta vez , sorprende con un lujoso hotel de 213 habitaciones y suites en el paseo marítimo de Macao , marcando lo que será una nueva era en elegancia y sofisticación hotelera . ",Sing,obl,Masc,16,"Esta vez , sorprende con lujosos hoteles de 213 habitaciones y suites en el paseo marítimo de Macao , marcando lo que será una nueva era en elegancia y sofisticación hotelera . ",Plur
97,ser,26,25,25,24,"Esta vez , sorprende con un lujoso hotel de 213 habitaciones y suites en el paseo marítimo de Macao , marcando lo que será una nueva era en elegancia y sofisticación hotelera . ",Sing,acl:relcl,Fem,11,"Esta vez , sorprende con un lujoso hotel de 213 habitaciones y suites en el paseo marítimo de Macao , marcando lo que serán nuevas eras en elegancia y sofisticación hotelera . ",Plur
98,temporada,4,5,-1,-1,"Después de solamente dos temporadas en la First Division , el equipo fue relegado a la Second Division . ",Plur,obl,Fem,11,"Después de solamente dos una temporada en la First Division , el equipo fue relegado a la Second Division . ",Sing
98,equipo,11,11,-1,10,"Después de solamente dos temporadas en la First Division , el equipo fue relegado a la Second Division . ",Sing,nsubj:pass,Masc,3,"Después de solamente dos temporadas en la First Division , los equipos fue relegado a la Second Division . ",Plur
99,coordenada,9,9,-1,8,El municipio de Galloway se encuentra ubicado en las coordenadas . ,Plur,obl,Fem,4,El municipio de Galloway se encuentra ubicado en la coordenada . ,Sing
100,equipo,1,1,2,0,Los equipos restantes juegan entre sí por los puestos 13 a 16 . ,Plur,nsubj,Masc,4,El equipo restantes juega entre sí por los puestos 13 a 16 . ,Sing
100,puesto,8,8,-1,7,Los equipos restantes juegan entre sí por los puestos 13 a 16 . ,Plur,obl,Masc,7,Los equipos restantes juegan entre sí por el puesto 13 a 16 . ,Sing
101,amenaza,3,4,4,-1,"Aunque rodeado de amenazas chiítas , Al - Qadir tuvo el apoyo de los turcos sunnitas gaznavíes en el este y más tarde , de los selyúcidas en el norte . ",Plur,obl,Fem,4,"Aunque rodeado de una amenaza una chiíta , Al - Qadir tuvo el apoyo de los turcos sunnitas gaznavíes en el este y más tarde , de los selyúcidas en el norte . ",Sing
101,apoyo,11,11,-1,10,"Aunque rodeado de amenazas chiítas , Al - Qadir tuvo el apoyo de los turcos sunnitas gaznavíes en el este y más tarde , de los selyúcidas en el norte . ",Sing,obj,Masc,8,"Aunque rodeado de amenazas chiítas , Al - Qadir tuvo los apoyos de los turcos sunnitas gaznavíes en el este y más tarde , de los selyúcidas en el norte . ",Plur
